NÚMERO DO CONTRATO,OBJETO DO CONTRATO,CONTRATADA,CNPJ DA CONTRATADA,VALOR TOTAL,VALOR EXECUTADO,DATA DE INÍCIO,DATA DE TÉRMINO,SITUAÇÃO DO CONTRATO,UNIDADE BENEFICIADA,CATEGORIA DO OBJETO
07,"Fornecimento De Licencas De Software Do Tipo “Autocad Lt”, Com Cessao Para Uso Valida Por 12 (Doze) Meses.",Mcr Sistemas E Consultoria Ltda,04198254000117,12810.0,12810.0,2025-05-19,2026-05-19,Em Execucao,Reitoria,Servico De Prestacao Continuada
09,"Prestacao De Servicos De Reforma Da Pavimentacao Do Campus Santo Amaro Da Upe (Esef E Condominio), Nas Condicoes Estabelecidas No Termo De Referencia, Na Proposta Da Contratada E Nos Demais Documentos Constantes Do Processo Relativo Ao Pregao Eletronico No 2951.2024.Cpl Upe En.Pe.0047.Fesp Upe.",Renovation Servicos E Manutencao Predial Ltda,28198456000127,199072.14,168531.43,2025-06-25,2026-03-22,Em Execucao,Campus Santo Amaro,Servicos De Engenharia - Obras - Reformas - Manutencoes
08,"Prestacao De Servicos De Motorista, Mediante A Disponibilizacao De Profissionais Devidamente Habilitados Nas Categorias “B”, “C” E “D”, Para Atender As Demandas Da Reitoria Da Upe",Solserv Servicos Ltda,14056350000184,199675.44,110999.55,2025-06-25,2026-06-25,Em Execucao,Reitoria,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
11,"Contratacao Que Consistente No Provisionamento, Configuracao, Suporte, Manutencao E Gestao Do Servico De Colaboracao Em Nuvem, Associada Aos Servicos De Colaboracao E Produtividade De Email, Ferramenta De Videoconferencia E Pacote De Software De Escritorio E Armazenamento, Denominado Google Workspace For Education Edicao Plus.",Rede Nacional De Ensino E Pesquisa - Rnp,03508097000136,1098045.0,366015.0,2025-07-01,2028-07-01,Em Execucao,Upe,Servico De Prestacao Continuada
13,"Prestacao De Servicos De Reserva, Emissao E Entrega De Bilhetes Aereos Para Viagens Nacionais E Internacionais E Demais Servicos Correlatos",Wc Viagens E Turismo Ltda,13480254000104,744827.31,167862.46,2025-07-17,2026-07-17,Em Execucao,Reitoria,Servico De Prestacao Continuada
12,Contratacao De Empresa De Engenharia Para Execucao Dos Servicos De Impermeabilizacao Da Coberta E Reforma Das Salas 02 E 04 Do Primeiro Andar Do Anexo Do Instituto Confucio,Navera Engenharia Ltda,33358693000148,140499.99,83975.77,2025-07-17,2026-07-17,Em Execucao,Ic - Instituto Confucio,Servicos De Engenharia - Obras - Reformas - Manutencoes
Empenho,"Servico De Manutencao Em Equipamento De Seguranca Do Tipo Manutencao Em Equipamento De Seguranca Tipo Antena De Sistema Antifurto, Aparelho Ativador E Desativador De Alarme Com Reposicao De Pecas.",As Systems,17141331000144,24499.98,21777.78,2025-07-23,2028-07-23,Em Execucao,Upe,Servico De Prestacao Nao Continuada - Por Demanda Ou Evento Especifico
15,Prestacao De Servicos Graficos De Plotagem De Plantas E Projetos Diversos,Debora Maria De Farias Cavalcanti,33336537000186,5904.0,830.0,2025-08-27,2026-08-27,Em Execucao,Reitoria,Servico De Prestacao Continuada
16,"Servico De Controle De Animais E Pragas Do Tipo Desinfestacao De Insetos Rasteiros, Baratas, Escorpioes, Ratos E Cupins, Com Tecnicas Diversas, Em Areas Internas E Externas. Servico De Controle De Animais E Pragas Do Tipo Prevencao De Proliferacao De Pombos, Com Uso De Gel Repelente, Em Areas Internas E Externas, Marquises E Coberta De Todos Os Predios Da Reitoria Da Upe.",S S Sanel Saude Ltda Epp,20160797000100,6000.0,1500.0,2025-09-03,2026-09-03,Em Execucao,Reitoria,Servico De Prestacao Continuada
11,"Constui O Objeto Do Presente Instrumento, A Prestacao E A Ulizacao Dos Servicos Publicos De Abastecimento De Agua E Esgotamento Sanitario, De Acordo Com As Condicoes Gerais Estabelecidas No Regulamento Geral Do Fornecimento De Agua E Da Coleta De Esgotos, Aprovado Pelo Decreto Estadual Nº. 18.251/94, Observada A Legislacao Aplicavel.",Compesa - Companhia Pernambucana De Saneamento,09769035000164,144000.0,54506.85,2025-09-03,2035-09-03,Em Execucao,Reitoria,Servico De Prestacao Continuada
09,"Constui O Objeto Do Presente Instrumento, A Prestacao E A Ulizacao Dos Servicos Publicos De Abastecimento De Agua E Esgotamento Sanitario, De Acordo Com As Condicoes Gerais Estabelecidas No Regulamento Geral Do Fornecimento De Agua E Da Coleta De Esgotos, Aprovado Pelo Decreto Estadual Nº. 18.251/94, Observada A Legislacao Aplicavel.",Compesa - Companhia Pernambucana De Saneamento,09769035000164,8400.0,4057.15,2025-09-03,2035-09-03,Em Execucao,Ic - Instituto Confucio,Servico De Prestacao Continuada
10,"Constui O Objeto Do Presente Instrumento, A Prestacao E A Ulizacao Dos Servicos Publicos De Abastecimento De Agua E Esgotamento Sanitario, De Acordo Com As Condicoes Gerais Estabelecidas No Regulamento Geral Do Fornecimento De Agua E Da Coleta De Esgotos, Aprovado Pelo Decreto Estadual Nº. 18.251/94, Observada A Legislacao Aplicavel.",Compesa - Companhia Pernambucana De Saneamento,09769035000164,6000.0,1377.0,2025-09-03,2035-09-03,Em Execucao,Iit - Instituto De Inovacao Tecnologica,Servico De Prestacao Continuada
08,"Constui O Objeto Do Presente Instrumento, A Prestacao E A Ulizacao Dos Servicos Publicos De Abastecimento De Agua E Esgotamento Sanitario, De Acordo Com As Condicoes Gerais Estabelecidas No Regulamento Geral Do Fornecimento De Agua E Da Coleta De Esgotos, Aprovado Pelo Decreto Estadual Nº. 18.251/94, Observada A Legislacao Aplicavel.",Compesa - Companhia Pernambucana De Saneamento,09769035000164,144000.0,0.0,2025-09-03,2035-09-03,Em Execucao,Campus Fop,Servico De Prestacao Continuada
17,Prestacao De Servicos De Cobertura Securitaria Seguro De Vida Em Grupo E Contra Acidentes Pessoais Coletivos Para Os Estudantes Com Estagios Obrigatorios Da Universidade De Pernambuco Campus Caruaru,Mbm Seguradora,87883807000106,1205.28,1205.28,2025-09-23,2026-09-23,Em Execucao,Campus Caruaru,Servico De Prestacao Continuada
Empenho,Aquisicao De 05 Licencas Do Software Office 365 A3 Visando Atender As Necessidades Do Campus Caruaru/Upe,Ipcomm Tecnologia Ltda,03675338000131,1138.25,1138.25,2025-09-23,2026-09-23,Em Execucao,Campus Caruaru,Servico De Prestacao Continuada
18,"Prestacao Dos Servicos De Engenharia Para Implantacao Do Sistema De Prevencao E Combate A Incendios (Spci), Iluminacao De Emergencia, Deteccao E Alarme Atendendo A Norma Regulamentadora Nr 23 – Protecao Contra Incendios E Ao Codigo De Seguranca Contra Incendio E Panico (Coscip), Do Estado De Pernambuco Lote 1 Unidades: Esef, Fensg, Fcm Sede, Icb Sede, Fop Clinicas – Campus Saude Rua Arnobio Marques, Nº310, Bairro Santo Amaro Recifepe.",Fwd Instalacoes Ltda,21332764000154,1467840.97,199990.88,2025-10-10,2026-06-07,Em Execucao,Combo 10 - Esef - Fensg - Fcm - Icb - Fop Clinicas,Servicos De Engenharia - Obras - Reformas - Manutencoes
18,"Prestacao Dos Servicos De Engenharia Para Implantacao Do Sistema De Prevencao E Combate A Incendios (Spci), Iluminacao De Emergencia, Deteccao E Alarme Atendendo A Norma Regulamentadora Nr 23 – Protecao Contra Incendios E Ao Codigo De Seguranca Contra Incendio E Panico (Coscip), Do Estado De Pernambuco Lote 2 Petrolina (Br 203, Km 2 S/Nº Vila Eduardopetrolinapernambuco) Arcoverde (Rua Cicero Monteiro De Melo, S/Nº, Bairro Sao Cristovao, Arcoverdepernambuco) Salgueiro (Rua Veremungo Soares – Zona Rural – Salgueiropernambuco).",Fwd Instalacoes Ltda,21332764000154,1467840.97,0.0,2025-10-10,2026-07-07,Em Execucao,Combo 9 - Petrolina - Arcoverde - Salgueiro,Servicos De Engenharia - Obras - Reformas - Manutencoes
18,"Prestacao Dos Servicos De Engenharia Para Implantacao Do Sistema De Prevencao E Combate A Incendios (Spci), Iluminacao De Emergencia, Deteccao E Alarme Atendendo A Norma Regulamentadora Nr 23 – Protecao Contra Incendios E Ao Codigo De Seguranca Contra Incendio E Panico (Coscip), Do Estado De Pernambuco Lote 4 Campus Mata Norte Da Upe Rua Amaro Maltes De Farias, Nº201 Centro Nazare Da Mata.",Fwd Instalacoes Ltda,21332764000154,1467840.97,0.0,2025-10-10,2026-06-07,Em Execucao,Campus Mata Norte,Servicos De Engenharia - Obras - Reformas - Manutencoes
18,"Prestacao Dos Servicos De Engenharia Para Implantacao Do Sistema De Prevencao E Combate A Incendios (Spci), Iluminacao De Emergencia, Deteccao E Alarme Atendendo A Norma Regulamentadora Nr 23 – Protecao Contra Incendios E Ao Codigo De Seguranca Contra Incendio E Panico (Coscip), Do Estado De Pernambuco Lote 5 Campus Garanhuns Da Upe Rua Capitao Pedro Rodrigues, Bairro Sao Jose, Garanhunspernambuco.",Fwd Instalacoes Ltda,21332764000154,1467840.97,0.0,2025-10-10,2026-06-07,Em Execucao,Campus Garanhus,Servicos De Engenharia - Obras - Reformas - Manutencoes
19,"Prestacao Dos Servicos De Engenharia Para Implantacao Do Sistema De Prevencao E Combate A Incendios (Spci), Iluminacao De Emergencia, Deteccao E Alarme Atendendo A Norma Regulamentadora Nr 23 – Protecao Contra Incendios E Ao Codigo De Seguranca Contra Incendio E Panico (Coscip), Do Estado De Pernambuco Lote 3 Upe Campus Benfica – Escola Politecnica De Pernambuco (Poli/Upe) E Faculdade De Ciencias Da Administracao E Direito (Fcap/Upe)",Jme Engenharia Ltda,24061780000148,450000.0,0.0,2025-10-10,2026-07-07,Em Execucao,Campus Benfica,Servicos De Engenharia - Obras - Reformas - Manutencoes
20,Fornecimento De 540 Garrafoes De Agua Mineral Para O Campus Caruaru,Inovacao Tecnologica Do Sertao De Itaparica Ltda,42881170000172,6566.4,729.6,2025-10-17,2026-10-17,Em Execucao,Campus Caruaru,Servico De Prestacao Continuada
21,"Contratacao De Empresa Especializada Prestacao De Servicos Advocaticios De Informacoes Forenses, Relativo Ao Exercicio De 2025",Sec Nor Distribuidora De Publicacoes,01592950000115,5310.0,1106.25,2025-10-17,2026-10-17,Em Execucao,Upe,Servico De Prestacao Continuada
22,"Prestacao De Servicos De Limpeza E Conservacao Predial, Com A Disponibilizacao De Mao De Obra, Produtos Saneantes Domissanitarios Referente A Dois Postos Para Atender As Necessidades Da Do Campus Caruaru",Fps Prestadora De Servicos Ltda,10531029000153,97356.17,13521.73,2025-10-29,2026-10-29,Em Execucao,Campus Caruaru,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
23,Contratacao De Empresa Especializada Em Serv Limpeza E Analise Bacteriologica E Fisico Quimica Caixas De Agua Da Reitoria E Do Inst. Confucio,Ra De Oliveira Q. Da Silveira Servicos,12900307000128,3860.0,1300.0,2025-11-05,2026-11-05,Em Execucao,Reitoria,Servico De Prestacao Continuada
23,Contratacao De Empresa Especializada Em Serv Limpeza E Analise Bacteriologica E Fisico Quimica Caixas De Agua Da Reitoria E Do Inst. Confucio,Ra De Oliveira Q. Da Silveira Servicos,12900307000128,3860.0,630.0,2025-11-05,2026-11-05,Em Execucao,Ic - Instituto Confucio,Servico De Prestacao Continuada
24,"Contratacao De Empresa De Engenharia Para Execucao Da Construcao De Muro, Alambrado, Guarita, Abrigo De Lixo E Urbanizacao Do Polo Da Upe Em Tabira.",Lexon Servicos & Construtora Empreendimentos,07191777000120,430904.88,61883.88,2025-11-07,2026-11-02,Em Execucao,Ead - Polo Tabira,Servicos De Engenharia - Obras - Reformas - Manutencoes
26,Eletrocardiografo Portatil,Newmed Ltda,11022597000191,52600.0,52600.0,2025-11-12,2026-11-12,Em Execucao,Procape - Prontosocorro Cardiologico Universitario De Pernambuco Professor Luiz Tavares,Fornecimento De Equipamento
25,Balao Intraaortico,Getinge Do Brasil Ltda.,06028137000211,540000.0,540000.0,2025-11-12,2026-11-12,Em Execucao,Procape - Prontosocorro Cardiologico Universitario De Pernambuco Professor Luiz Tavares,Fornecimento De Equipamento
27,"Servico De Prestacao De Mao De Obra Do Tipo Recepcionista,Nivel Medio Com Conhecimento Basico Em Informatica, Posto De 44 Horas Semanais,Turno Diurno,Segunda A Sexta",Rm Terceirizacao E Gestao De Recursos Humanos Ltda,11022597000191,41194.32,2517.43,2025-11-13,2026-11-13,Em Execucao,Campus Caruaru,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
29,Licenca De Uso De Software De Dados E Indicadores Para Avaliacao De Resultados Dos Programas De Fomento A Pesquisa E A Inovacao,Srd Tecnologia E Informacao Cientifica Ltda,18042370000157,45873.21,45873.21,2025-11-17,2026-11-17,Em Execucao,Reitoria,Servico De Prestacao Continuada
30,"Prestacao De Servicos De Vigilancia Armada, A Serem Executados Com Regime De Dedicacao Exclusiva De Mao De Obra Na Upe Campus Caruaru",Alforge Seguranca Patrimonial Ltda,13343833000105,71114.52,4345.89,2025-11-25,2026-11-25,Em Execucao,Campus Caruaru,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
32,"Aquisicao De Balaointraaortico, Bateria, Maleta, Cilindro, Kit.Simulador P/ Atender O Procape/Upe, Com Recursos Do Convenio 943902/2023",Getinge Do Brasil Equipamentos Medicos Ltda,06028137000211,540000.0,540000.0,2025-12-04,2026-08-21,Em Execucao,Procape - Prontosocorro Cardiologico Universitario De Pernambuco Professor Luiz Tavares,Fornecimento De Equipamento
33,"Execucao Da Reforma Das Cobertas Dos Blocos ""C"" E ""D"" Da Reitoria Da Universidade De Pernambuco – Upe",Onze Construcoes Ltda,14877395000110,345000.0,41709.94,2025-12-10,2026-08-07,Em Execucao,Reitoria,Servicos De Engenharia - Obras - Reformas - Manutencoes
28,"Contratacao Da Empresa Rede Nacional De Ensino E Pesquisa - Rnp, Para A Prestacao De Servico De Soc (Security Operations Center) Rnp - Intermediario",Rede Nacional De Ensino E Pesquisa - Rnp,03508097000136,326758.47,326758.47,2025-12-11,2026-12-11,Em Execucao,Upe,Servico De Prestacao Continuada
34,"Fornecimento De Um Firewall De Proxima Geracao (Nextgeneration Firewall Ngfw), Incluindo O Hardware, As Licencas De Software Necessarias Para Suas Funcionalidades Avancadas E O Suporte Tecnico Do Fabricante, Visando Atender As Necessidades Da Universidade De Pernambuco",Arpsist Servicos De Engenharia Ltda,70064316000122,395600.0,395600.0,2025-12-15,2028-12-15,Em Execucao,Reitoria,Servico De Prestacao Continuada
35,"Contratacao De Servico De Assinatura Da Base De Dados De Livros Eletronicos Biblioteca Virtual Da Pearson Education Do Brasil Ltda, Por Meio De Inexigibilidade De Licitacao Com Fundamento No Art. 74, Inc. I Da Lei Nº 14.133/21, Visando Atender As Necessidades Do Nucleo De Gestao De Bibliotecas Da Upe, Conforme As Condicoes, Especificacoes, Quantidades E Exigencias Contidas Neste Termo De Referencia.",Pearson Education Do Brasil Ltda,01404158001838,453222.53,5085.17,2025-12-16,2030-12-16,Em Execucao,Upe,Servico De Prestacao Continuada
41,"Contratacao Da Assinatura Da Base De Dados Webdewey, Da Online Computer Library Center (Oclc) Por Meio De Inexigibilidade De Licitacao Com Fundamento No Art. 74, Inc. I Da Lei Nº 14.133/21, Visando Atender As Necessidades Do Nucleo De Gestao De Bibliotecas Da Upe",Forall Assinaturas E Livros Ltda,87140307000176,18710.0,18710.0,2025-12-17,2030-12-17,Em Execucao,Reitoria,Servico De Prestacao Continuada
37,"Prestacao De Servicos Continuados Em Tecnologia Da Informacao, Para Customizacao, Sustentacao E Suporte Tecnico Dos Sistemas Sigufrn (Sigaa E Orbitais), Por Meio De Inexigibilidade De Licitacao. Com Fundamento No Art. 74, Inc. I Da Lei Nº 14.133/21, A Fim De Atender As Necessidades Da Universidade De Pernambuco",Sig Software & Consultoria Em Tecnologia Da Informacao Ltda,13406686000167,1520000.0,50000.0,2025-12-17,2026-12-17,Em Execucao,Upe,Servico De Prestacao Continuada
36,"Ecocardiografo Sistema Digital De Alta Resolucao Para Para Ultrassonografia Diagnostica Estrutura E Funcao Cardiaca,,Software Geral Para Ralizacao De Exames Vasculares E Transesofagicos",Philips Medical Systems Ltda,13406686000167,568000.0,568000.0,2025-12-17,2026-12-17,Em Execucao,Procape - Prontosocorro Cardiologico Universitario De Pernambuco Professor Luiz Tavares,Fornecimento De Equipamento
1,Prestacao De Servicos De Solucao Integrada E Gerenciada De Software De Protecao Antivirus E Antimalware Com Edr (Deteccao E Resposta De Endpoint),Cptec Solucoes Em Tecnologia Da Informacao Ltda,10362933000182,162750.0,162750.0,2026-01-16,2029-01-16,Em Execucao,Reitoria,Servico De Prestacao Nao Continuada - Por Demanda Ou Evento Especifico
2,"Fornecimento De Licencas Software De Design Grafico, Com Direito De Atualizacao E Suporte, Com Cessao Para Uso Valida Por 36 (Trinta E Seis) Meses, Visando Atender As Necessidades Da Reitoria Da Upe",Mcr Sistemas E Consultoria Ltda,04198254000117,223453.93,223453.93,2026-01-19,2029-01-19,Em Execucao,Reitoria,Servico De Prestacao Nao Continuada - Por Demanda Ou Evento Especifico
3,"Fornecimento De Licencas De Software Do Tipo “Licenca De Uso De Software - Coreldraw Graphics Suite, Licenca Por 36 Meses, Versao Atualizada”",Mcr Sistemas E Consultoria Ltda,04198254000117,1384.86,0.0,2026-01-22,2027-01-22,Em Execucao,Reitoria,Servico De Prestacao Nao Continuada - Por Demanda Ou Evento Especifico
4,"Ecocardiografo Equipamento Digital, Imagem De Alta Definicao,Opcoes De Criacoes De Protocolos,Demais Informacoes Em Edital,Assistencia Tecnica Em Pernambuco, Garantia Minima De 1 Ano, Registro Na Anvisamarca:Nenhuma Marca Registrada",Ge Healthcare Do Brasil Comercio E Servicos Para Equipamentos Medico,00029372000221,123900.0,123900.0,2026-01-22,2027-01-22,Em Execucao,Procape - Prontosocorro Cardiologico Universitario De Pernambuco Professor Luiz Tavares,Fornecimento De Equipamento
6,"Contratacao De Empresa Especializada Para Fornecimento De Licencas Do Windows Server - Sistema Operacional Para Prover Servicos De Infraestrutura E Licenca Cal De Acesso - Regulamentacao Da Conexao Entre Estacoes Clientes E Os Servicos De Infraestrutura Da Instituicao, Visando Atender As Necessidades Da Universidade De Pernambuco",Wernetech Informatica Ltda,33479392000172,76291.1,76291.1,2026-01-29,2029-01-29,Em Execucao,Reitoria,Servico De Prestacao Nao Continuada - Por Demanda Ou Evento Especifico
7,"Contratacao De Prestacao De Servicos Especializado De Monitoramento Inteligente Da Infraestrutura De Datacenter E Rede Da Universidade De Pernambuco (Upe), Com Foco Na Deteccao De Anomalias, Incidentes E Tendencias Que Possam Comprometer A Disponibilidade, Seguranca E Desempenho Dos Ativos De Tecnologia Da Informacao (Ti) E Dos Servicos Institucionais, Visando Atender As Necessidades Da Universidade De Pernambuco",Anomalus Solucoes Inteligentes Ltda,59778356000101,73800.0,6150.0,2026-02-24,2027-02-24,Em Execucao,Reitoria,Servico De Prestacao Nao Continuada - Por Demanda Ou Evento Especifico
31,"Constitui Objeto Do Presente Contrato A Prestacao De Servicos De Controle, Operacao E Fiscalizacao De Portarias (Dois Postos) Para Atender As Demandas Da Reitoria Da Upe, A Serem Executados Com Regime De Dedicacao Exclusiva De Mao De Obra, Nas Condicoes Estabelecidas No Termo De Referencia, Na Proposta Da Contratada E Nos Demais Documentos Constantes Do Processo Administrativo Em Epigrafe",Jsp Servicos E Terceirizados De Mao De Obra Ltda,13258693000169,141500.7,21912.96,2025-12-01,2026-12-01,Em Execucao,Reitoria,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
32,Contratacao De Empresa Na Prestacao De Servico De Gerenciamento Academico Dos Programas De Pos-Graduacao Stricto Sensu Da Upe Atraves Da Solucao Atrio+,Cattedra Solucoes Em Ti Eireli,15025223000180,244065.53,895931.63,2025-03-16,2026-03-15,Em Execucao,Upe,Servico De Prestacao Continuada
42,"Prestacao De Servicos De Manutencao Predial, Preventiva E Corretiva, Com Disponibilizacao De Equipamentos, Ferramentas E Utensilios, Sem Reposicao E Substituicao De Pecas, Para Atender As Necessidades Da Reitoria Da Upe E A Upe Campus Caruaru, Nos Termos Da Legislacao Vigente E Das Normas Tecnicas Aplicaveis, A Serem Executados Com Regime De Dedicacao Exclusiva De Mao De Obra, Conforme As Especificacoes Contidas No Termo De Referencia, Na Proposta Da Contratada E Nos Demais Documentos Constantes Do Processo Administrativo Em Epigrafe.",Servitium Ltda,00558943000134,165888.88,3920.03,2025-12-30,2026-12-30,Em Execucao,Combo 12 - Reitoria - Caruaru,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
Adesao,Servico De Pontos De Voz Movel (Assinatura Mensal) - Lote Iii Servico De Trafego Inter/Extra-Rede Pe-Conectado (Movel) - Lote Iii Servico De Trafego De Dados Via Pvm - Std - Lote Iii Servico De Pontos De Voz Movel - Pvm - Roaming Internacional Voz - Lote Iii Servico De Pontos De Voz Movel - Pvm - Roaming Internacional Dados - Lote Iii 3.3.90.40.09 - Sevico De Telefonia Movel,Claro S.A.,40432544000147,23765.42,,2025-12-09,2026-12-09,Em Execucao,Upe,Servico De Prestacao Continuada
Adesao,Servico De Trafego Extra-Rede Pe-Conectado (Fix0) - Te - Lote Ii Servico Adicional De Acesso Sip (Rmr) - Lote Ii 3.3.90.40.10 - Servico De Telefonia Fixa,Oi S.A. Em Recuperacao Judicial,76535764000143,6112.08,,2025-12-11,2026-12-11,Em Execucao,Upe,Servico De Prestacao Continuada
Adesao,3.3.90.40.12 - Servico De Teleprocessamento 3.3.90.40.11 - Servicos De Infraestrutura E Gerenciamento De Comunicacao De Dados E Redes,1Telecom Servicos De Tecnologia Em Internet Ltda,11844663000109,204595.44,,2026-03-01,2028-02-28,Nan,Upe,Servico De Prestacao Continuada
Adesao,3.3.90.40.10 - Sevico De Telefonia Fixa,Metodo Telecomunicacoes E Comercio Ltda,65295172000185,88620.0,,2026-03-01,2028-02-28,Nan,Upe,Servico De Prestacao Continuada
Nan,"Fornecimento De Equipamentos Medico Hospitalares Atraves Do Convenio Nº 891078/2019 Visando Atender As Necessidades Do Hospital Universitario Oswaldo Cruz Huoc/Upe. (Ventilador Pulmonar, Ultrasonografo)",Safe Suporte A Vida E Comercio Internacional Ltda,08675394000190,326000.0,326000.0,,,Em Execucao,Huoc - Hospital Universitario Oswaldo Cruz,Fornecimento De Equipamento
Nan,Fornecimento De Torno Mecanico Paralelo Universal Para Escola Politecnica De Pernambuco – Poli/Upe,Vitor E Buono Ltda,432238900000103,89500.0,89500.0,,,Em Execucao,Campus Benfica - Poli,Fornecimento De Equipamento
12,"Contratacao De Produtos E Servicos Por Meio De Pacote De Servicos Dos Correios Mediante Adesao Ao Termo De Condicoes Comerciais E Anexos, Quando Contratados Servicos Especificos, Que Permite A Compra De Produtos E Utilizacao Dos Diversos Servicos Dos Correios Por Meio Dos Canais De Atendimento Disponibilizados.",Empresa Brasileira De Correios E Telegrafos Etc,34028316002157,,,2026-03-19,2031-03-19,Nan,Reitoria,Servico De Prestacao Continuada
